key,time,distance,iteration
b,0.6347808837890625,2,0
m,0.5518760681152344,1,0
u,0.565079927444458,1,0
j,0.5337297916412354,0,0
",",0.8040499687194824,1,0
y,0.6647062301635742,1,0
p,0.5668284893035889,1,0
t,0.674677848815918,1,0
k,0.5488224029541016,0,0
d,0.6395912170410156,0,0
.,0.675140380859375,1,0
f,0.5628862380981445,0,0
w,0.5894119739532471,1,0
z,0.5843031406402588,1,0
i,0.6312129497528076,1,0
h,0.6302585601806641,1,0
n,0.6260428428649902,1,0
s,0.6114919185638428,0,0
q,0.7179269790649414,2,0
x,0.6255762577056885,1,0
o,0.6011233329772949,1,0
;,0.6615855693817139,0,0
c,0.6111969947814941,1,0
v,0.6033267974853516,1,0
a,0.5351090431213379,0,0
r,0.6156609058380127,1,0
l,0.5628795623779297,0,0
e,0.6300983428955078,1,0
g,0.664832353591919,1,0
h,0.6098463535308838,1,1
u,0.6809816360473633,1,1
k,0.5349738597869873,0,1
g,0.6953210830688477,1,1
l,0.5812318325042725,0,1
.,0.6770658493041992,1,1
m,0.6123850345611572,1,1
t,0.6566736698150635,1,1
f,0.5676181316375732,0,1
n,0.568352222442627,1,1
o,0.5888516902923584,1,1
c,0.753497838973999,1,1
e,0.6035728454589844,1,1
z,0.5887751579284668,1,1
v,0.6566123962402344,1,1
a,0.7127254009246826,0,1
i,0.5588514804840088,1,1
x,0.6425361633300781,1,1
",",0.6906602382659912,1,1
d,0.663409948348999,0,1
p,0.593071460723877,1,1
b,0.7029650211334229,2,1
s,0.7236614227294922,0,1
w,0.5906367301940918,1,1
q,0.6810905933380127,2,1
j,0.7223143577575684,0,1
y,0.8159317970275879,1,1
;,0.43868255615234375,0,1
r,0.6725938320159912,1,1
u,0.5661020278930664,1,2
b,0.5490236282348633,2,2
g,0.6482036113739014,1,2
i,0.5194888114929199,1,2
a,0.5712175369262695,0,2
w,0.6226575374603271,1,2
;,0.5635764598846436,0,2
c,0.6158924102783203,1,2
x,0.6351759433746338,1,2
r,0.6117680072784424,1,2
s,0.5884959697723389,0,2
z,0.6506149768829346,1,2
n,0.8141474723815918,1,2
l,0.5753397941589355,0,2
q,0.6642405986785889,2,2
k,0.5154030323028564,0,2
v,0.6281538009643555,1,2
j,0.5127270221710205,0,2
",",0.6322085857391357,1,2
d,0.6792004108428955,0,2
h,0.606086015701294,1,2
y,0.6080238819122314,1,2
t,0.6542806625366211,1,2
e,0.6297211647033691,1,2
.,0.689751386642456,1,2
p,0.6168062686920166,1,2
o,0.6334793567657471,1,2
m,0.6797726154327393,1,2
f,0.5855364799499512,0,2
c,0.6843380928039551,1,3
e,0.5750081539154053,1,3
j,0.5246679782867432,0,3
y,0.6511962413787842,1,3
w,0.6521389484405518,1,3
.,0.4840085506439209,1,3
f,0.551163911819458,0,3
s,0.6815850734710693,0,3
p,0.7254376411437988,1,3
g,0.7259793281555176,1,3
z,0.6254768371582031,1,3
q,0.6567885875701904,2,3
b,0.6934714317321777,2,3
i,0.8148174285888672,1,3
d,0.675222635269165,0,3
u,0.6329987049102783,1,3
n,0.6818270683288574,1,3
o,0.6622998714447021,1,3
t,0.6512010097503662,1,3
h,0.642737865447998,1,3
k,0.5222938060760498,0,3
l,0.4574570655822754,0,3
;,0.600811243057251,0,3
v,0.7065505981445312,1,3
m,0.5481081008911133,1,3
",",0.7783668041229248,1,3
a,0.7627289295196533,0,3
r,0.7009603977203369,1,3
x,0.7448816299438477,1,3
l,0.5957942008972168,0,4
v,0.7541377544403076,1,4
g,0.6952500343322754,1,4
m,0.6129236221313477,1,4
u,0.588935375213623,1,4
s,0.7271671295166016,0,4
p,0.651308536529541,1,4
o,0.563178300857544,1,4
z,0.6138756275177002,1,4
h,0.5979433059692383,1,4
",",0.7032201290130615,1,4
;,0.6530625820159912,0,4
b,0.6421077251434326,2,4
r,0.6551945209503174,1,4
k,0.5053014755249023,0,4
d,0.517186164855957,0,4
x,0.6992161273956299,1,4
y,0.6162331104278564,1,4
q,0.6330020427703857,2,4
.,0.6509177684783936,1,4
f,0.5852437019348145,0,4
e,0.781440258026123,1,4
a,0.5374846458435059,0,4
t,0.584989070892334,1,4
n,0.5793194770812988,1,4
c,0.6361236572265625,1,4
w,0.5903341770172119,1,4
i,0.3783845901489258,1,4
j,0.5220341682434082,0,4
